"filename", "language", "Python", "Properties", "Batch", "PowerShell", "JSON", "HTML", "XSL", "C++", "CSS", "Markdown", "Shell Script", "XML", "C", "pip requirements", "Log", "SQL", "Java", "comment", "blank", "total"
"c:\Users\cr0ss4ire\Desktop\ps\ps_api\apps\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\cr0ss4ire\Desktop\ps\ps_api\apps\account\__init__.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\cr0ss4ire\Desktop\ps\ps_api\apps\account\models.py", "Python", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 100
"c:\Users\cr0ss4ire\Desktop\ps\ps_api\apps\account\role.py", "Python", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 85
"c:\Users\cr0ss4ire\Desktop\ps\ps_api\apps\account\user.py", "Python", 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24, 192
"c:\Users\cr0ss4ire\Desktop\ps\ps_api\apps\common\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\cr0ss4ire\Desktop\ps\ps_api\apps\common\queue.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\cr0ss4ire\Desktop\ps\ps_api\apps\exploit\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\cr0ss4ire\Desktop\ps\ps_api\apps\exploit\models.py", "Python", 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 63, 213
"c:\Users\cr0ss4ire\Desktop\ps\ps_api\apps\exploit\plugin.py", "Python", 420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 56, 482
"c:\Users\cr0ss4ire\Desktop\ps\ps_api\apps\home\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\cr0ss4ire\Desktop\ps\ps_api\apps\home\homes.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\cr0ss4ire\Desktop\ps\ps_api\apps\task\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\cr0ss4ire\Desktop\ps\ps_api\apps\task\models.py", "Python", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 48
"c:\Users\cr0ss4ire\Desktop\ps\ps_api\apps\task\task.py", "Python", 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23, 227
"c:\Users\cr0ss4ire\Desktop\ps\ps_api\config.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 27
"c:\Users\cr0ss4ire\Desktop\ps\ps_api\libs\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\cr0ss4ire\Desktop\ps\ps_api\libs\decorators.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33
