Date : 2021-12-06 15:58:00
Directory : c:\Users\cr0ss4ire\Desktop\ps\ps_api
Total : 2670 files,  538619 codes, 204489 comments, 110798 blanks, all 853906 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |      2,565 |    530,392 |    202,234 |    108,192 |    840,818 |
| C++              |         34 |      2,919 |      1,468 |        657 |      5,044 |
| C                |          2 |      1,735 |        408 |        210 |      2,353 |
| Log              |          2 |      1,408 |          0 |      1,310 |      2,718 |
| HTML             |         30 |      1,334 |         57 |        249 |      1,640 |
| Properties       |          5 |        167 |          7 |         27 |        201 |
| CSS              |          1 |        135 |          1 |         19 |        155 |
| SQL              |          2 |        107 |         21 |         26 |        154 |
| PowerShell       |          1 |        102 |        239 |         34 |        375 |
| Shell Script     |          3 |         97 |         27 |         25 |        149 |
| Java             |          1 |         66 |          2 |         17 |         85 |
| pip requirements |          2 |         46 |          0 |          1 |         47 |
| Batch            |          2 |         39 |          0 |         17 |         56 |
| XSL              |          1 |         24 |         24 |          8 |         56 |
| JSON             |         17 |         17 |          0 |          0 |         17 |
| Markdown         |          1 |         17 |          0 |          5 |         22 |
| XML              |          1 |         14 |          1 |          1 |         16 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |      2,670 |    538,619 |    204,489 |    110,798 |    853,906 |
| apps                                                                                                                           |         15 |      1,163 |         18 |        246 |      1,427 |
| apps\account                                                                                                                   |          4 |        316 |          1 |         68 |        385 |
| apps\common                                                                                                                    |          2 |         22 |          0 |          7 |         29 |
| apps\exploit                                                                                                                   |          3 |        564 |         15 |        122 |        701 |
| apps\home                                                                                                                      |          2 |         21 |          0 |          9 |         30 |
| apps\task                                                                                                                      |          3 |        240 |          2 |         39 |        281 |
| libs                                                                                                                           |        102 |     10,425 |      1,851 |      2,475 |     14,751 |
| libs\pocstrike                                                                                                                 |         92 |      9,732 |      1,805 |      2,306 |     13,843 |
